Field,series,Mean,Median,Min,Max,Variance,P2P_amplitude,Trend_slope,Spectral_centroid,Spectral_rolloff,Spectral_entropy,Strength_of_trend,Mean_crossing_rate,Median_crossing_rate,is_stationary
,mechanical_gear_vibration_data_19,2.520689981362793,2.520672543879377,2.512623993380976,2.530035146203583,2.947991073942279e-06,0.0174111528226066,9.006848068771792e-09,0.0099705901746626,0.0,0.8651093695923388,0.6930055253578725,0.5009000360014401,0.5420216808672347,False
,mechanical_gear_vibration_data_20,2.5214617556776133,2.5214938246659275,2.494555826768138,2.550402922972084,2.2654383725367382e-05,0.0558470962039461,3.851448687961143e-09,0.0296255375988068,0.32372,0.8772326182288248,0.5989126795133668,0.6085843433737349,0.6196247849913996,True
,mechanical_gear_vibration_data_21,2.5210167206242704,2.521001056191252,2.487000051264079,2.557137432925246,5.695118937041979e-05,0.070137381661167,4.539114038452188e-09,0.0442619318022576,0.39088,0.8513996175709511,0.5802520796068402,0.6523060922436897,0.6595063802552102,True
,mechanical_gear_vibration_data_22,2.5212989451850003,2.521329568506787,2.4871643072328977,2.548267590872085,3.516502695659505e-05,0.0611032836391873,4.563431027475719e-09,0.0330047920609405,0.32596,0.8741082004122851,0.6686927958892087,0.5274210968438737,0.5400616024640985,True
,mechanical_gear_vibration_data_23,2.521677400570288,2.5218223369869546,2.465482527164873,2.5740558428448628,0.0001898150991997,0.1085733156799899,-1.221077542424732e-09,0.0690621673247362,0.4292,0.8032735328543569,0.5900728036380524,0.641105644225769,0.6476659066362654,True
,mechanical_gear_vibration_data_24,2.5193844932727627,2.5193584946684777,2.465975294719133,2.5756984074391616,8.329415000119265e-06,0.1097231127200286,-4.844203304593179e-09,0.0196582606644239,0.20272,0.9184486645048114,0.6140268364705272,0.4991799671986879,0.5384215368614744,True
,mechanical_gear_vibration_data_25,2.519085468345008,2.5190299823749016,2.466303806426474,2.580626101780252,1.4390805497013238e-05,0.1143222953537779,8.903615677389423e-09,0.0245592928191781,0.26188,0.9194021425562994,0.6339939224513076,0.4658186327453098,0.4892595703828153,True
,mechanical_gear_vibration_data_26,2.5186460388607776,2.5185372139413964,2.2194282486943533,2.8209343695837874,0.0005019272282317,0.6015061208894341,-7.021453252152848e-09,0.1063161928641187,0.42428,0.8810720767088495,0.5629115964027004,0.5999039961598464,0.6087043481739269,True
,mechanical_gear_vibration_data_27,2.5186323371589774,2.5182087016569654,2.243573676828571,2.8122287021597923,0.0007272433059288,0.5686550253312213,-2.020108722497734e-09,0.1196377606222518,0.4422,0.8839171397959662,0.5856542871215893,0.6420656826273051,0.6473858954358175,True
,mechanical_gear_vibration_data_28,2.516989964377594,2.5170589086902595,2.399287492192774,2.6372946472534182,0.0002268514893581,0.2380071550606444,-4.354077482455726e-09,0.0771253939270101,0.41508,0.9063964067906944,0.6233971720044297,0.5365814632585303,0.5417816712668507,True
,mechanical_gear_vibration_data_29,2.5165200848345357,2.5157448596402983,2.3137105000805875,2.755395545419069,0.0012784106249653,0.4416850453384815,2.66576109327208e-08,0.1354477405259723,0.45776,0.862286719791921,0.5951410180955178,0.6199447977919117,0.6219848793951758,True
,mechanical_gear_vibration_data_30,2.5184178785954274,2.518372957798724,2.510981432324249,2.525435972759998,1.587105612940727e-06,0.0144545404357492,-9.79855467109832e-09,0.0078634298086628,0.0,0.8866692155926814,0.6734645535033623,0.5072202888115525,0.5599023960958438,False
,mechanical_gear_vibration_data_31,2.5200213208520155,2.5200155192666083,2.5104886640250257,2.5287210965749054,3.429019458533057e-06,0.0182324325498797,5.688524487455667e-09,0.0104191694044279,0.0,0.8444747769959947,0.6724456118719664,0.5217008680347214,0.5560222408896356,True
,mechanical_gear_vibration_data_32,2.518448601332912,2.5185372139413964,2.499976275595677,2.5349628328343594,1.743580657597834e-05,0.0349865572386822,-8.063208887604833e-10,0.0231437515211045,0.23396,0.8335861881285243,0.6805937953309704,0.5191407656306253,0.5335813432537302,True
,mechanical_gear_vibration_data_33,2.519373936081544,2.519522750816638,2.478458742132832,2.5568089202085544,7.876661612828345e-05,0.0783501780757225,-7.10672349341124e-10,0.0452352367992053,0.38984,0.781957973720017,0.6640224416111535,0.5347413896555863,0.5426617064682587,True
,mechanical_gear_vibration_data_34,2.518331592322962,2.518372957798724,2.4892996349100085,2.5512242045905427,4.668003273117881e-05,0.0619245696805341,5.551021310249145e-09,0.038071582615924,0.36656,0.8690609034179786,0.6418856340284806,0.5649425977039082,0.5753830153206129,True
,mechanical_gear_vibration_data_35,2.520186218468057,2.5203440315711623,2.4594050613280323,2.5932738544286904,0.0002482162530034,0.1338687931006581,-7.338091766362013e-09,0.0771952400774754,0.42724,0.8118330047420842,0.5900346610228778,0.6314252570102804,0.6352254090163607,True
,metro_nyc_0,3313.6572460159364,3512.0,0.0,7280.0,3896179.046986846,7280.0,0.0028636720246876,0.1383114759918033,0.43218791500664,0.240850433942253,2.3386823649733524,0.0934633741440132,0.0927578335754305,False
,MLTempDataset_0,21.867467828798187,24.033,5.35,36.5,45.3849540735113,31.15,0.0004426271091297,0.1088026038702744,0.4138321995464852,0.6960375828797585,2.4112776738775894,0.0684620836286321,0.0735648476257973,False
,non_invasive_fetal_ecg_0,-13.360383333333331,-33.5,-278.5,409.0,13499.180782186422,687.5,0.0016478887757633,0.0141693873717464,0.0526333333333333,0.2556725653369499,52.63947144923287,0.0052000866681111,0.0089668161136018,False
,non_invasive_fetal_ecg_1,0.987175,-11.0,-302.5,445.5,13359.948323019264,748.0,-0.0002081621120994,0.0139645428034003,0.0521,0.2733454523576584,42.185566012945,0.0122668711145185,0.0138502308371806,False
,non_invasive_fetal_ecg_2,-51.26943333333333,-66.0,-332.0,370.0,13879.73459734563,702.0,0.001695180849832,0.0156928914731128,0.0604166666666666,0.2565826752216633,36.696588078775854,0.0073667894464907,0.0096168269471157,False
,non_invasive_fetal_ecg_3,-52.71889166666666,-67.5,-308.5,392.5,14001.841948938414,701.0,0.0011767659677296,0.018755741711949,0.0857333333333333,0.2575074154907871,35.385875572931155,0.0088834813913565,0.0099834997249954,False
,pharma_sales_0,35.10244067327815,34.565,7.67,65.33,74.00864365222284,57.66,0.0210786561896491,0.1504251911141489,0.4635761589403973,0.8568743591718314,0.805857568924422,0.4186046511627907,0.4252491694352159,False
,pharma_sales_1,27.16761141006623,26.7895,6.237,53.571,49.446493095511926,47.334,0.0005666662301061,0.1435965147733351,0.4569536423841059,0.8801467471274576,0.8822388336088736,0.4518272425249169,0.4518272425249169,False
,pharma_sales_2,27.06029470198676,26.5,3.5,60.125,65.17428387940507,56.625,-0.0477292535616574,0.1430799569526831,0.4569536423841059,0.7742028982635146,0.9500733962451302,0.3720930232558139,0.3853820598006645,False
,pharma_sales_3,208.6271612860927,198.3,86.25,546.899,5767.365722037132,460.649,-0.0002937001377825,0.1097291335659196,0.4403973509933774,0.594969876532067,1.6067329986480623,0.1528239202657807,0.1395348837209302,True
,pharma_sales_4,61.74085264877484,57.0,18.0,154.0,501.7506611581508,136.0,-0.063018309240579,0.14739200367062,0.4602649006622517,0.7971379015035073,0.990030641885612,0.3255813953488372,0.3754152823920266,False
,pharma_sales_5,4.138934878586093,3.9791666665,0.0,17.0,9.759871814368877,17.0,0.0004843009767953,0.2004739276965171,0.466887417218543,0.9138387492136868,0.7642541001449499,0.4318936877076412,0.4717607973421927,False
,pharma_sales_6,38.43981098238411,35.0,2.0,131.0,522.7133800337092,129.0,0.0925581042272747,0.1672539547966856,0.4602649006622517,0.7884073416108536,0.988016526640168,0.3455149501661129,0.3654485049833887,True
,pharma_sales_7,20.22456125824504,17.5,1.0,65.0,129.10879893633822,64.0,0.0305982573406003,0.1382044629027271,0.4470198675496689,0.5421808275144692,1.4463463772694956,0.1661129568106312,0.1727574750830564,True
,power_comsumption_india_0,138.61785714285713,118.45,56.1,286.0,2907.0398734301407,229.9,-0.0053214407012662,0.1074610848553613,0.4230769230769231,0.7329319336859014,1.6374936456216138,0.1019283746556473,0.1322314049586777,True
,power_comsumption_india_1,136.5648351648352,127.05,64.8,224.5,1262.9528843134872,159.7,-0.0079316449428528,0.09352629435113,0.4120879120879121,0.7222286195314942,1.645499711561598,0.1019283746556473,0.1322314049586777,True
